SampleID,qPCR16S
1256D,211486.9123
1261A,25700892.08
1261B,37277517.47
1261C,163029808.9
1261D,3376897.569
1261E,7367473.946
1261F,69021631.13
1261G,2292.99217
1261L,4523.149081
1261M,628389.3229
1261N,1094513.523
1261O,1276150.034
1261P,97239.60704
1261Q,19878.38552
1261R,19105.96969
1261S,131452.9501
1261U,2310001.015
1261V,4089190.096
1261W,17474643.94
1261X,138447861.2
1261Y,1023621.176
1262E,12478556.96
1262I,4423180.36
1262J,14891950.32
1262K,5712903.208
1262L,14280499.68
1262M,167240516.3
1262N,128072145.5
1271A,184001529.3
1271D,28649707.26
1271E,24935.61726
1271G,9526233.56
1271H,13694884.18
1271I,9499574.882
1271J,3730412.556
1271K,4520722.095
1271M,181349.942
1271O,50751026.25
1271P,26832035.33
1271Q,64933604.65
1271R,101522571.4
1271S,147080233.6
1271T,57650286.61
1273D,194606861.3
1273F,257228300
1273G,74051615.82
1276A,9678696.937
1276C,57975014.49
1276D,28459558.87
1276F,390209369.2
1276G,447050473.5
1276H,587928724.8
1276I,507361466
1277A,62659576.92
1277B,28917257.52
1277C,29498968.99
1277D,9394475.424
1277E,21994827.55
1277F,32558722.11
1277G,69102210.94
1277H,136671552.6
1277I,67285636
1277J,86733121.21
1277K,47336147.32
1277L,76600943.59
1277M,69620839.55
1277O,53542521.39
1277P,136613905.4
1285A,459170111.4
1285B,1544268718
1293A,92565997.77
1293B,183245741.5
1293C,46584713.54
1293D,4987282.585
1293E,32532902.55
1293F,34136623.44
1293G,84962226.58
1293H,31154900.48
1294A,20259338.01
1294B,1358633.166
1294C,11914162.39
1294D,0
1294E,57093170.59
1294F,52865428.97
1294G,375609576.9
1297A,5735.918802
1297B,47447.80556
1297E,11167102.73
1297F,6672206.79
1297G,53437350.53
1297J,62742.40503
1303A,48830960.72
1303B,81004335.31
1303C,306375.1085
1303D,18571030.17
1303E,81035530.7
1303F,70192286.36
1303G,20589042.44
1303H,18780566.27
1303I,58859394.77
1303J,0
1303K,4624241050
1312A,55428478.81
1312B,56125219.09
1312C,64119944.81
1312G,59737081.46
1312H,94919065.4
1312I,139980578.3
1312J,143332923.6
1314A,465253697.8
1314B,121586597.8
1314C,35901893.56
1314D,2662006.88
1314E,6090707.212
1314F,7337871.162
1314G,6185475.359
1314H,6968118.32
1314I,16.74233327
1314J,117.117258
1314K,153072.5997
1314L,909993.5049
1314M,1085051.196
1314N,964410.5373
1314O,29183885.5
1314P,1639442.052
1314Q,311276.6168
1314R,8971.506735
1314S,21816270.53
1316A,316018.0469
1316B,670506.1266
1316C,64446.15687
1316D,355328.6956
1316E,688386.4348
1316F,17235128.72
1320A,51630576.32
1320B,43102650.66
1320C,108320828.4
1320D,22676253.38
1320E,12410977.73
1320F,626143.5736
1320G,273160.5346
1320H,151728.4456
1320M,99870698.08
1320N,40667516.88
1320O,19562446.69
1320P,17760.70752
1320Q,23.57797305
1320R,79333477.48
1320S,3727725.189
1320T,44945426.69
1326A,10252868.29
1326C,19269968.25
1326D,71281.9416
1326E,15223310.3
1326F,6834887.441
1326G,20417617.25
1326H,6822972.365
1326I,2796067.885
1326J,57469.25238
1326K,3460.580899
1326L,695.629688
1326N,2812140.12
1326O,378443.2566
1326P,13161.56508
1331A,152805321.5
1331B,170430078.4
1331C,274966.8614
1331D,12641869.93
1331E,17967428.21
1331F,3269888.799
1331G,4073063.296
1331H,81652787.96
1331I,64916965.01
1331J,239403873.9
1331K,504061037
1331L,300201641.6
1331M,222206296.3
1331N,139149651.7
1331O,455260.9026
1331P,141697737.7
1333A,10689586.58
1334A,292580810.5
1334B,59970284.06
1334C,42112528.99
1334D,15007020.43
1334E,20885485.99
1334F,27544640.41
1334G,14866442.2
1337A,141441296.5
1337B,73745947.68
1337C,33014325.1
1337D,49971373.77
1337E,6526342.217
1337F,68126668.42
1337G,185174211.4
1337H,83925248.76
1337I,23925295.05
1337J,2295.220533
1337K,1239.613383
1337L,515308.7713
1337M,271293.9172
1338A,151527273.6
1338B,15123776.79
1338C,12083065.48
1338D,844649.8312
1338F,16244.92058
1338G,212790.7689
1338I,138351.9166
1338J,217836.0194
1338K,1190909.708
1338L,765036.1163
1338M,854407.7331
1338N,400630.2865
1338O,49041683.73
1338Q,16132392.36
1343A,6525564.68
1343B,88871405.62
1345A,8584913.762
1345B,982.4943258
